index	Mots écrits	_id	Pictogramme	Catégories	Conjugaison	schematic	sex	violence	aac	aacColor	skin	hair	downloads
chahuter	chahuter	24832,24833	24832.png,24833.png	verb,disruptive behavior:verb	1,1	False,True	False,False	False,False	False,False	False,False	True,True	True,False	0,0
chahuts	chahuts	24832	24832.png	verb,disruptive behavior	1	False	False	False	False	False	True	True	0
chaine	chaine	8051	8051.png	work tool,halloween	0	False	False	False	False	False	False	False	0
chaines	chaines	8051	8051.png	work tool,halloween	0	False	False	False	False	False	False	False	0
chaise	chaise	3155,4960,4960,4961,6614,6614	3155.png,4960.png,4960.png,4961.png,6614.png,6614.png	furniture,core vocabulary-object:furniture:furniture:furniture:furniture:furniture	0,0,0,0,0,0	True,False,False,False,True,True	False,False,False,False,False,False	False,False,False,False,False,False	True,False,False,False,False,False	True,False,False,False,False,False	False,False,False,False,False,False	False,False,False,False,False,False	0,0,0,0,0,0
chaise adaptée	chaise adaptée	25455	25455.png	orthopedic product,furniture	0	False	False	False	False	False	False	False	0
chaise bébé	chaise bébé	35961	35961.png	furniture,childcare	0	False	False	False	False	False	False	False	0
chaise d'écolier	chaise d'écolier	11376	11376.png	educational equipment,furniture	0	False	False	False	False	False	False	False	0
chaise de cuisine	chaise de cuisine	4960	4960.png	furniture	0	False	False	False	False	False	False	False	0
chaise de plage adaptée	chaise de plage adaptée	24583	24583.png	orthopedic product,beach	0	True	False	False	False	False	True	False	0
chaise haute	chaise haute	35961	35961.png	furniture,childcare	0	False	False	False	False	False	False	False	0
chaise longue	chaise longue	4764	4764.png	furniture,beach	0	False	False	False	False	False	False	False	0
chaise pliante	chaise pliante	38037	38037.png	furniture,outdoor activity	0	False	False	False	False	False	False	False	0
chaise à bascule	chaise à bascule	38031	38031.png	educational equipment,sensory stimulation material	0	False	False	False	False	False	False	False	0
chaises	chaises	3155,4961	3155.png,4961.png	furniture,core vocabulary-object:furniture	0,0	True,False	False,False	False,False	True,False	True,False	False,False	False,False	0,0
chaises adaptées	chaises adaptées	25455	25455.png	orthopedic product,furniture	0	False	False	False	False	False	False	False	0
chaises bébé	chaises bébé	35961	35961.png	furniture,childcare	0	False	False	False	False	False	False	False	0
chaises d'écolier	chaises d'écolier	11376	11376.png	educational equipment,furniture	0	False	False	False	False	False	False	False	0
chaises de cuisine	chaises de cuisine	4960	4960.png	furniture	0	False	False	False	False	False	False	False	0
chaises de plage adaptées	chaises de plage adaptées	24583	24583.png	orthopedic product,beach	0	True	False	False	False	False	True	False	0
chaises hautes	chaises hautes	35961	35961.png	furniture,childcare	0	False	False	False	False	False	False	False	0
chaises longues	chaises longues	4764	4764.png	furniture,beach	0	False	False	False	False	False	False	False	0
chaises musicales	chaises musicales	36404	36404.png	traditional game	0	True	False	False	False	False	True	False	0
chaises pliantes	chaises pliantes	38037	38037.png	furniture,outdoor activity	0	False	False	False	False	False	False	False	0
chaises à bascule	chaises à bascule	38031	38031.png	educational equipment,sensory stimulation material	0	False	False	False	False	False	False	False	0
chalet	chalet	5957	5957.png	residential building	0	False	False	False	False	False	False	False	0
chalets	chalets	5957	5957.png	residential building	0	False	False	False	False	False	False	False	0
chaleur	chaleur	35561,35597,35597	35561.png,35597.png,35597.png	symptom,body sensation:physics:physics	0,0,0	True,True,True	False,False,False	False,False,False	False,False,False	False,False,False	True,False,False	False,False,False	0,0,0
chaleurs	chaleurs	35561	35561.png	symptom,body sensation	0	True	False	False	False	False	True	False	0
chalumeau	chalumeau	11380	11380.png	work tool	0	False	False	False	False	False	False	False	0
chalumeaux	chalumeaux	11380	11380.png	work tool	0	False	False	False	False	False	False	False	0
chalutier	chalutier	21423	21423.png	water transport	0	False	False	False	False	False	False	False	0
chalutiers	chalutiers	21423	21423.png	water transport	0	False	False	False	False	False	False	False	0
chambre	chambre	5988,15732,32234,32422,33068,35325	5988.png,15732.png,32234.png,32422.png,33068.png,35325.png	room,signaling system,core vocabulary-place,core vocabulary-communication:room,signaling system:obstetrics,hospital room,signaling system:room:room:hospital room,signaling system	0,0,0,0,0,0	True,True,False,True,True,True	False,False,False,False,False,False	False,False,False,False,False,False	True,False,False,False,False,False	True,False,False,False,False,False	False,False,True,False,False,False	False,False,True,False,False,False	0,0,0,0,0,0
chambre d'hopital	chambre d'hopital	35325	35325.png	hospital room,signaling system	0	True	False	False	False	False	False	False	0
chambre d'hôpital	chambre d'hôpital	31358,32234	31358.png,32234.png	hospital room,signaling system:obstetrics,hospital room,signaling system	0,0	False,False	False,False	False,False	False,False	False,False	True,True	False,True	0,0
chambre d'observation	chambre d'observation	30470	30470.png	hospital room,signaling system	0	True	False	False	False	False	False	False	0
chambre de crémation	chambre de crémation	26008	26008.png	verb,death	1	False	False	False	False	False	False	False	0
chambre des députés	chambre des députés	21551	21551.png	monument,public building,political representation	0	False	False	False	False	False	False	False	0
chambre implantable	chambre implantable	31316,31317,31318,31319,31354	31316.png,31317.png,31318.png,31319.png,31354.png	nursing equipment:nursing equipment:nursing equipment:nursing equipment,medical procedure:medical test	0,0,0,0,0	False,False,False,False,False	False,False,False,False,False	False,False,False,False,False	False,False,False,False,False	False,False,False,False,False	True,True,True,True,True	False,False,False,False,False	0,0,0,0,0
chambre sous-cutanée	chambre sous-cutanée	31316,31317,31318,31319	31316.png,31317.png,31318.png,31319.png	nursing equipment:nursing equipment:nursing equipment:nursing equipment,medical procedure	0,0,0,0	False,False,False,False	False,False,False,False	False,False,False,False	False,False,False,False	False,False,False,False	True,True,True,True	False,False,False,False	0,0,0,0
chambre à coucher	chambre à coucher	5988,32422,33068	5988.png,32422.png,33068.png	room,signaling system,core vocabulary-place,core vocabulary-communication:room:room	0,0,0	True,True,True	False,False,False	False,False,False	True,False,False	True,False,False	False,False,False	False,False,False	0,0,0
chambres	chambres	5988,15732,32234,32422,33068,35325	5988.png,15732.png,32234.png,32422.png,33068.png,35325.png	room,signaling system,core vocabulary-place,core vocabulary-communication:room,signaling system:obstetrics,hospital room,signaling system:room:room:hospital room,signaling system	0,0,0,0,0,0	True,True,False,True,True,True	False,False,False,False,False,False	False,False,False,False,False,False	True,False,False,False,False,False	True,False,False,False,False,False	False,False,True,False,False,False	False,False,True,False,False,False	0,0,0,0,0,0
chambres d'hopital	chambres d'hopital	35325	35325.png	hospital room,signaling system	0	True	False	False	False	False	False	False	0
chambres d'hôpital	chambres d'hôpital	31358,32234	31358.png,32234.png	hospital room,signaling system:obstetrics,hospital room,signaling system	0,0	False,False	False,False	False,False	False,False	False,False	True,True	False,True	0,0
chambres d'observation	chambres d'observation	30470	30470.png	hospital room,signaling system	0	True	False	False	False	False	False	False	0
chambres de crémation	chambres de crémation	26008	26008.png	verb,death	1	False	False	False	False	False	False	False	0
chambres implantables	chambres implantables	31316,31317,31318,31319,31354	31316.png,31317.png,31318.png,31319.png,31354.png	nursing equipment:nursing equipment:nursing equipment:nursing equipment,medical procedure:medical test	0,0,0,0,0	False,False,False,False,False	False,False,False,False,False	False,False,False,False,False	False,False,False,False,False	False,False,False,False,False	True,True,True,True,True	False,False,False,False,False	0,0,0,0,0
chambres sous-cutanées	chambres sous-cutanées	31316,31317,31318,31319	31316.png,31317.png,31318.png,31319.png	nursing equipment:nursing equipment:nursing equipment:nursing equipment,medical procedure	0,0,0,0	False,False,False,False	False,False,False,False	False,False,False,False	False,False,False,False	False,False,False,False	True,True,True,True	False,False,False,False	0,0,0,0
chambres à coucher	chambres à coucher	5988,32422,33068	5988.png,32422.png,33068.png	room,signaling system,core vocabulary-place,core vocabulary-communication:room:room	0,0,0	True,True,True	False,False,False	False,False,False	True,False,False	True,False,False	False,False,False	False,False,False	0,0,0
chameau	chameau	8522	8522.png	herbivorous,mammal,viviparous,terrestrial animal,cattle farming,domestic animal,core vocabulary-living being,core vocabulary-work	0	False	False	False	True	False	False	False	0
chameaux	chameaux	8522	8522.png	herbivorous,mammal,viviparous,terrestrial animal,cattle farming,domestic animal,core vocabulary-living being,core vocabulary-work	0	False	False	False	True	False	False	False	0
champ	champ	2683,25916	2683.png,25916.png	rural area:agriculture,worksite,workplace,rural area	0,0	False,True	False,False	False,False	False,False	False,False	False,False	False,False	0,0
champagne	champagne	3009	3009.png	beverage	0	False	False	False	False	False	False	False	0
champagne catalan	champagne catalan	3009	3009.png	beverage	0	False	False	False	False	False	False	False	0
champagnes	champagnes	3009	3009.png	beverage	0	False	False	False	False	False	False	False	0
champagnes catalans	champagnes catalans	3009	3009.png	beverage	0	False	False	False	False	False	False	False	0
champignon	champignon	8328,10220	8328.png,10220.png	plant-based food,fungus:fungus,plant-based food	0,0	False,False	False,False	False,False	False,False	False,False	False,False	False,False	0,0
champignons	champignons	2331,3154,3386,3386,8328,10220	2331.png,3154.png,3386.png,3386.png,8328.png,10220.png	fungus:gastronomy:plant-based food,fungus:plant-based food,fungus:plant-based food,fungus:fungus,plant-based food	0,0,0,0,0,0	False,False,False,False,False,False	False,False,False,False,False,False	False,False,False,False,False,False	False,False,False,False,False,False	False,False,False,False,False,False	False,False,False,False,False,False	False,False,False,False,False,False	0,0,0,0,0,0
champion	champion	11578	11578.png	sport event	0	False	False	False	False	False	True	True	0
championne	championne	11271	11271.png	sport event	0	False	False	False	False	False	True	True	0
championnes	championnes	11271	11271.png	sport event	0	False	False	False	False	False	True	True	0
champions	champions	11578	11578.png	sport event	0	False	False	False	False	False	True	True	0
champs	champs	2683,25916	2683.png,25916.png	rural area:agriculture,worksite,workplace,rural area	0,0	False,True	False,False	False,False	False,False	False,False	False,False	False,False	0,0
chance	chance	11164	11164.png	qualifying adjective	0	False	False	False	False	False	True	True	0
chances	chances	11164	11164.png	qualifying adjective	0	False	False	False	False	False	True	True	0
chanceux	chanceux	11164	11164.png	qualifying adjective	0	False	False	False	False	False	True	True	0
chandelier	chandelier	6958	6958.png	decorative item,halloween	0	False	False	False	False	False	False	False	0
chandeliers	chandeliers	6958	6958.png	decorative item,halloween	0	False	False	False	False	False	False	False	0
chandelle	chandelle	6242	6242.png	decorative item,halloween	0	False	False	False	False	False	False	False	0
chandelles	chandelles	6242	6242.png	decorative item,halloween	0	False	False	False	False	False	False	False	0
changement	changement	31955	31955.png	miscellaneous	0	False	False	False	False	False	True	True	0
changement d'équipe	changement d'équipe	34713	34713.png	game,sport	0	True	False	False	False	False	True	False	0
changement de conversation	changement de conversation	11199	11199.png	expression	0	False	False	False	False	False	True	True	0
changement de position	changement de position	35889	35889.png	medical procedure	0	True	False	False	False	False	True	False	0
changement de poste	changement de poste	34713	34713.png	game,sport	0	True	False	False	False	False	True	False	0
changement de sujet	changement de sujet	11199	11199.png	expression	0	False	False	False	False	False	True	True	0
changement de vitesses	changement de vitesses	22009	22009.png	vehicle component,land transport	0	False	False	False	False	False	False	False	0
